Filings Report,,,,,,,,,,
"Generated on Monday, 19 October 2020 at 18:53 PDT",,,,,,,,,,
,,,,,,,,,,
CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
1773427,Secondary,"SpringWorks Therapeutics, Inc.","Stamford, CT",SWTX,Nasdaq NM,2020-10-06,-,-,$250.0 mil.,"J.P. Morgan, Goldman Sachs & Co., Cowen, Wedbush PacGrow Life Sciences"
1599298,Secondary,Summit Therapeutics plc,"Oxfordshire, UNITED KINGDOM",SMMT,Nasdaq NM,2020-10-05,-,-,$200.0 mil.,Shelf Registration (mixed)
1729944,Secondary,"IMAC Holdings, Inc.","Brentwood, TN",IMAC,Nasdaq NM,2020-10-05,-,-,$5.00 mil.,"Ascendiant Securities, LLC"
1585608,Secondary,"Jaguar Health, Inc.","San Francisco, CA",JAGX,Nasdaq NM,2020-10-05,-,-,$7.00 mil.,Ladenburg Thalmann
1788882,Secondary,"Root, Inc.","Columbus, OH",ROOT,Nasdaq NM,2020-10-05,-,-,$100.0 mil.,"Goldman Sachs & Co., Morgan Stanley, Barclays, Wells Fargo Securities, Credit Suisse, Deutsche Bank Securities, JMP Securities, Evercore ISI, Truist Securities, Credit Suisse, Cantor, Siebert Williams Shank"
1178253,Secondary,"SCYNEXIS, Inc.","Durham, NC",SCYX,Nasdaq NM,2020-10-02,-,-,$50.0 mil.,"Cantor, Ladenburg Thalmann"
896493,Secondary,"DPW Holdings, Inc.","Fremont, CA",DPW,NYSE,2020-10-02,-,-,$8.98 mil.,"Ascendiant Securities, LLC"
1261249,Secondary,"Agile Therapeutics, Inc.","Princeton, NJ",AGRX,Nasdaq NM,2020-10-02,-,-,$200.0 mil.,Shelf Registration (mixed)
1636050,Secondary,Axovant Gene Therapies Ltd.,"London, UNITED KINGDOM",AXGT,Nasdaq NM,2020-10-02,-,-,$50.0 mil.,SVB Leerink
1236275,Secondary,"SilverSun Technologies, Inc.","East Hanover, NJ",SSNT,Nasdaq NM,2020-10-02,-,-,$50.0 mil.,Shelf Registration (mixed)
1269026,Secondary,"Sintx Technologies, Inc.","Salt Lake City, UT",SINT,Nasdaq NM,2020-10-02,-,-,$75.0 mil.,Shelf Registration (mixed)
1611747,Secondary,BiondVax Pharmaceuticals Ltd.,"Nes Ziona, ISRAEL",BVXV,Nasdaq NM,2020-10-02,-,-,$100.0 mil.,"BofA Securities, Citigroup, Credit Suisse"
1761612,Secondary,Bicycle Therapeutics Limited,"Cambridge, UNITED KINGDOM",BCYC,Nasdaq NM,2020-10-02,-,-,$75.0 mil.,"Cantor, Oppenheimer & Co. Inc."
738214,Secondary,"Aemetis, Inc.","Cupertino, CA",AMTX,Nasdaq NM,2020-10-01,-,-,$16.0 mil.,Shelf Registration (mixed)
1006281,Secondary,Protalix BioTherapeutics Inc.,"Carmiel, ISRAEL",PLX,NYSE,2020-10-01,-,-,$30.0 mil.,BofA Securities
1595527,Secondary,"New York City REIT, Inc.","New York, NY",NYC,NYSE,2020-10-01,-,-,$18.7 mil.,"Truist Securities, B. Riley FBR"
1011509,Secondary,Golden Minerals Company,"Golden, CO",AUMN,NYSE,2020-10-01,-,-,$200.0 mil.,Shelf Registration (mixed)
737468,Secondary,"Washington Trust Bancorp, Inc.","Westerly, RI",WASH,Nasdaq NM,2020-10-01,-,-,$150.0 mil.,Shelf Registration (mixed)
912593,Secondary,Sun Communities Inc.,"Southfield, MI",SUI,NYSE,2020-09-30,-,-,"$1,116.0 mil.","BofA Securities, Citigroup, BMO Capital Markets, RBC Capital Markets, J.P. Morgan"
708821,Secondary,PAR Technology Park,"New Hartford, NY",PAR,NYSE,2020-09-30,-,-,$127.3 mil.,Jefferies
1408534,Secondary,"First Guaranty Bancshares, Inc.","Hammond, LA",FGBI,Nasdaq NM,2020-09-30,-,-,$50.0 mil.,Shelf Registration (mixed)
1664106,Secondary,"LogicBio Therapeutics, Inc.","Cambridge, MA",LOGC,Nasdaq NM,2020-09-30,-,-,$42.0 mil.,"Jefferies, Barclays, William Blair & Co., Chardan"
886128,Secondary,FuelCell Energy Inc.,"Danbury, CT",FCEL,Nasdaq NM,2020-09-29,-,-,$91.4 mil.,"J.P. Morgan, Barclays, Canaccord Genuity"
319458,Secondary,Enservco Corp,"Longmont, CO",ENSV,NYSE,2020-09-29,-,-,$3.60 mil.,A.G.P.
1213037,Secondary,"Cardiff Oncology, Inc.","San Diego, CA",CRDF,Nasdaq NM,2020-09-29,-,-,$87.8 mil.,"Cowen, Piper Sandler, H.C. Wainwright & Co."
913277,Secondary,Clarus Corp.,"Salt Lake City, UT",BDE,Nasdaq NM,2020-09-29,-,-,$11.5 mil.,Shelf Registration
1023128,Secondary,Lithia Motors Inc.,"Medford, OR",LAD,NYSE,2020-09-29,-,-,$700.0 mil.,"Goldman Sachs & Co., J.P. Morgan, BofA Securities, Citigroup, Morgan Stanley"
917225,Secondary,Solitario Zinc Corp.,"Wheat Ridge, CO",XPL,NYSE,2020-09-29,-,-,$12.0 mil.,Shelf Registration (mixed)
75252,Secondary,"Owens & Minor, Inc.","Mechanicsville, VA",OMI,NYSE,2020-09-29,-,-,$173.7 mil.,"Citigroup, BofA Securities, J.P. Morgan, PNC Capital Markets LLC, Guggenheim Securities"
1592058,Secondary,Party City Holdco Inc.,"Elmsford, NY",PRTY,NYSE,2020-09-28,-,-,$38.0 mil.,Shelf Registration
1540159,Secondary,"Edesa Biotech, Inc.","Markham, Ontario, CANADA",EDSA,Nasdaq NM,2020-09-28,-,-,$9.20 mil.,RBC Capital Markets
858339,Secondary,"Caesars Entertainment Corp,","Las Vegas, NV",CZR,Nasdaq NM,2020-09-28,-,-,N/A,"Deutsche Bank Securities, J.P. Morgan"
1137883,Secondary,Brainstorm Cell Therapeutics Inc.,"New York, NY",BCLI,Nasdaq NM,2020-09-25,-,-,$45.0 mil.,"Raymond James, SVB Leerink"
1498403,Secondary,BioLineRx Ltd.,"Jerusalem, ISRAEL",BLRX,Nasdaq NM,2020-09-25,-,-,$1.80 mil.,H.C. Wainwright & Co.
1681682,Secondary,ENDRA Life Sciences Inc.,"Ann Arbor, MI",NDRA,Nasdaq NM,2020-09-25,-,-,$6.80 mil.,"Ascendiant Securities, LLC"
1383097,Secondary,Naked Brand Group Inc.,"New York, NY",NAKD,Nasdaq NM,2020-09-25,-,-,$18.5 mil.,Maxim Group LLC
1420565,Secondary,"Aileron Therapeutics, Inc.","Cambridge, MA",ALRN,Nasdaq NM,2020-09-25,-,-,$4.19 mil.,Jones Trading
855654,Secondary,Immunogen Inc.,"Cambridge, MA",IMGN,Nasdaq NM,2020-09-25,-,-,$100.0 mil.,Jefferies
910267,Secondary,Titan Pharmaceuticals Inc.,"San Francisco, CA",TTNP,Nasdaq NM,2020-09-25,-,-,$2.72 mil.,Maxim Group LLC
1422142,Secondary,"Aerpio Pharmaceuticals, Inc.","Cincinnati, OH",ARPO,Nasdaq NM,2020-09-25,-,-,$75.0 mil.,Cantor
1053691,Secondary,Diffusion Pharmaceuticals Inc.,"Charlottesville, VA",DFFN,Nasdaq NM,2020-09-25,-,-,$75.0 mil.,Shelf Registration (mixed)
1591588,Secondary,"A-Mark Precious Metals, Inc.","El Segundo, CA",AMRK,Nasdaq NM,2020-09-25,-,-,$150.0 mil.,Shelf Registration (mixed)
1431959,Secondary,"Torchlight Energy Resources, Inc.","Plano, TX",TRCH,Nasdaq NM,2020-09-25,-,-,$60.0 mil.,Shelf Registration (mixed)
1674930,Secondary,"Fulgent Genetics, Inc.","Temple City, CA",FLGT,Nasdaq NM,2020-09-25,-,-,$125.0 mil.,Piper Sandler
1070296,Secondary,First Capital Inc,"Corydon, IN",FCAP,Nasdaq NM,2020-09-24,-,-,$35.0 mil.,Shelf Registration (mixed)
1411579,Secondary,AMC Entertainment Holdings Inc.,"Leawood, MO",AMC,NYSE,2020-09-24,-,-,N/A,"Citigroup, Goldman Sachs & Co."
1481028,Secondary,"SunHydrogen, Inc.","Santa Barbara, CA",HYSR,OTC BB,2020-09-23,-,-,$4.00 mil.,Shelf Registration
868278,Secondary,ProPhase Labs Inc.,"Doylestown, PA",PRPH,Nasdaq NM,2020-09-23,-,-,$11.3 mil.,A.G.P.
1645666,Secondary,"Kezar Life Sciences, Inc.","South San Francisco, CA",KZR,Nasdaq NM,2020-09-23,-,-,$50.0 mil.,Cowen
1477246,Secondary,S&W Seed Co.,"Five Points, CA",SANW,Nasdaq NM,2020-09-23,-,-,$100.0 mil.,Shelf Registration (mixed)
1618563,Secondary,National Storage Affiliates Trust,"Greenwood Village, CO",NSA,NYSE,2020-09-22,-,-,$149.2 mil.,"Morgan Stanley, Citigroup"
1631574,Secondary,Wave Life Sciences Pte Ltd,"Singapore, SINGAPORE",WVE,Nasdaq NM,2020-09-22,-,-,$100.0 mil.,"Jefferies, SVB Leerink, Mizuho Securities USA Inc., Truist Securities, H.C. Wainwright & Co."
1622229,Secondary,"Unum Therapeutics, Inc.","Cambridge, MA",UNUM,Nasdaq NM,2020-09-22,-,-,$494.2 mil.,Shelf Registration
1326706,Secondary,"NanoVibronix, Inc.","Elmsford, NY",NAOV,Nasdaq NM,2020-09-22,-,-,$1.79 mil.,H.C. Wainwright & Co.
1359931,Secondary,"Protara Therapeutics, Inc.","New York, NY",TARA,Nasdaq NM,2020-09-21,-,-,$77.6 mil.,"Cowen, Guggenheim Securities, Oppenheimer & Co. Inc., H.C. Wainwright & Co."
1504678,Secondary,"Loop Industries, Inc.","Terrebonne, Québec, CANADA",LOOP,Nasdaq NM,2020-09-21,-,-,$24.0 mil.,Roth Capital Partners
1334933,Secondary,Uranium Energy Corp.,"Austin, TX",UEC,NYSE,2020-09-21,-,-,$15.0 mil.,"H.C. Wainwright & Co., Haywood Securities"
1720580,Secondary,"Adicet Bio, Inc.","Boston, MA",ACET,Nasdaq NM,2020-09-21,-,-,N/A,"BofA Securities, Jefferies, SVB Leerink, Wedbush PacGrow Life Sciences"
1642375,Secondary,"Guardion Health Sciences, Inc.","San Diego, CA",GHSI,NYSE,2020-09-18,-,-,$75.0 mil.,Shelf Registration (mixed)
862861,Secondary,JanOne Inc.,"Las Vegas, NV",JAN,Nasdaq NM,2020-09-18,-,-,$100.0 mil.,Shelf Registration (mixed)
1378140,Secondary,Ocean Power Technologies Inc.,"Pennington, NJ",OPTT,Nasdaq NM,2020-09-18,-,-,$9.92 mil.,A.G.P.
101594,Secondary,US Energy Corp.,"Riverton, WY",USEG,Nasdaq NM,2020-09-18,-,-,$50.0 mil.,Shelf Registration (mixed)
1730463,Secondary,Autolus Therapeutics Ltd,"London, UNITED KINGDOM",AUTL,Nasdaq NM,2020-09-18,-,-,$100.0 mil.,Jefferies
1556593,Secondary,New Residential Investment Corp.,"New York, NY",NRZ,NYSE,2020-09-18,-,-,$315.0 mil.,Shelf Registration
1766502,Secondary,"Chewy, Inc.","Dania Beach, FL",CHWY,NYSE,2020-09-18,-,-,$319.1 mil.,Morgan Stanley
887247,Secondary,Adamis Pharmaceuticals Corp,"San Diego, CA",ADMP,Nasdaq NM,2020-09-17,-,-,$10.00 mil.,"Raymond James, Maxim Group LLC"
1728951,Secondary,"Essential Properties Realty Trust, Inc.","Princeton, NJ",EPRT,NYSE,2020-09-17,-,-,$250.0 mil.,"Citigroup, Barclays, BofA Securities"
946486,Secondary,"Windtree Therapeutics, Inc.","Warrington, PA",WINT,Nasdaq NM,2020-09-17,-,-,$75.0 mil.,Shelf Registration (mixed)
1651407,Secondary,"Checkpoint Therapeutics, Inc.","New York, NY",CKPT,Nasdaq NM,2020-09-17,-,-,$20.0 mil.,H.C. Wainwright & Co.
1747661,Secondary,"Color Star Technology Co., Ltd.","New York, NY",HHT,Nasdaq NM,2020-09-16,-,-,$6.60 mil.,Maxim Group LLC
1357459,Secondary,"Seneca Biopharma, Inc.","Germantown, MD",SNCA,Nasdaq NM,2020-09-16,-,-,$100.0 mil.,Shelf Registration (mixed)
903419,Secondary,Alerus Financial Corp,"Grand Forks, ND",ALRS,Nasdaq NM,2020-09-16,-,-,$125.0 mil.,Shelf Registration (mixed)
1534992,Secondary,Fiesta Restaurant Group Inc.,"Dallas, TX",FRGI,Nasdaq NM,2020-09-16,-,-,$100.0 mil.,Shelf Registration (mixed)
1709626,Secondary,NuCana plc,"Edinburgh, UNITED KINGDOM",NCNA,Nasdaq NM,2020-09-16,-,-,$70.0 mil.,"Cowen, William Blair & Co., Jefferies, Truist Securities"
1575793,Secondary,Energous Corp,"Pleasanton, CA",WATT,Nasdaq NM,2020-09-16,-,-,$75.0 mil.,Shelf Registration (mixed)
1274494,Secondary,First Solar Inc.,"Phoenix, AZ",FSLR,Nasdaq NM,2020-09-16,-,-,N/A,Morgan Stanley
1634432,Secondary,Strongbridge Biopharma plc,"Trevose, PA",SBBP,Nasdaq NM,2020-09-16,-,-,$25.0 mil.,"Cowen, Stifel, JMP Securities"
840715,Secondary,"ClearOne, Inc.","Salt Lake City, UT",CLRO,Nasdaq NM,2020-09-15,-,-,$5.27 mil.,H.C. Wainwright & Co.
1130648,Secondary,Carnival Corp.,"Miami, FL",CCL,NYSE,2020-09-15,-,-,"$1,000.0 mil.","Goldman Sachs & Co., J.P. Morgan, BofA Securities"
1293310,Secondary,"Humanigen, Inc.","Burlingame, CA",HGEND,OTC BB,2020-09-15,-,-,$68.0 mil.,"J.P. Morgan, Jefferies"
1625791,Secondary,Kornit Digital Ltd.,"Rosh-Ha Ayin, ISRAEL",KRNT,Nasdaq NM,2020-09-14,-,-,$230.4 mil.,"Citigroup, Barclays, Goldman Sachs & Co., Needham & Company, Stifel, William Blair & Co., Craig-Hallum Capital Group, CJS Securities, Inc."
1509745,Secondary,"Leap Therapeutics, Inc.","Cambridge, MA",LPTX,Nasdaq NM,2020-09-14,-,-,$150.0 mil.,Shelf Registration (mixed)
1419600,Secondary,"Flexion Therapeutics, Inc.","Burlington, MA",FLXN,Nasdaq NM,2020-09-11,-,-,$300.0 mil.,Shelf Registration (mixed)
1637890,Secondary,Celyad SA,"Mont-Saint-Guibert, BELGIUM",CYAD,Nasdaq NM,2020-09-11,-,-,$25.0 mil.,Jefferies
1506251,Secondary,"Citius Pharmaceuticals, Inc.","Cranford, NJ",CTXR,Nasdaq NM,2020-09-11,-,-,$100.0 mil.,Shelf Registration (mixed)
1008848,Secondary,Acorda Therapeutics Inc.,"Hawthorne, NY",ACOR,Nasdaq NM,2020-09-11,-,-,$100.0 mil.,Shelf Registration (mixed)
1401914,Secondary,"Dare Bioscience, Inc.","La Jolla, CA",DARE,Nasdaq NM,2020-09-11,-,-,$5.00 mil.,H.C. Wainwright & Co.
1095315,Secondary,PFSweb Inc,"Plano, TX",PFSW,Nasdaq NM,2020-09-11,-,-,$100.0 mil.,Shelf Registration (mixed)
1561627,Secondary,The ExOne Company,"North Huntingdon, PA",XONE,Nasdaq NM,2020-09-11,-,-,$25.0 mil.,Canaccord Genuity
1624326,Secondary,PAVmed Inc.,"New York, NY",PAVM,Nasdaq NM,2020-09-10,-,-,$75.0 mil.,Shelf Registration (mixed)
52827,Secondary,"Rayonier, Inc.","Jacksonville, FL",RYN,NYSE,2020-09-10,-,-,$300.0 mil.,"Citigroup, Credit Suisse, Goldman Sachs & Co., J.P. Morgan, Morgan Stanley, Raymond James"
1745797,Secondary,"Brigham Minerals, Inc.","Austin, TX",MNRL,NYSE,2020-09-10,-,-,$35.8 mil.,Credit Suisse
722723,Secondary,"Hanger, Inc.","Austin, TX",HNGR,NYSE,2020-09-10,-,-,$250.0 mil.,Shelf Registration (mixed)
