Filings Report,,,,,,,,,,
"Generated on Monday, 19 October 2020 at 18:53 PDT",,,,,,,,,,
,,,,,,,,,,
CIK,OFFER_TYPE,NAME,LOCATION,SYMBOL,EXCHANGE,FILING_DATE,PRICE_LOW,PRICE_HIGH,AMOUNT,UWRITERS
76321,Secondary,Parker Drilling Co.,"Houston, TX",PKD,NYSE,2017-02-21,-,-,$25.2 mil.,Barclays
1504461,Secondary,NGL Energy Partners LP,"Tulsa, OK",NGL,NYSE,2017-02-17,-,-,$234.3 mil.,"Credit Suisse, Wells Fargo Securities, UBS Investment Bank, Goldman Sachs & Co., Raymond James"
788920,Secondary,"Pro-Dex, Inc.","Irvine, CA",PDEX,Nasdaq NM,2017-02-16,-,-,$4.00 mil.,"Ascendiant Securities, LLC"
1671933,Secondary,"Trade Desk, Inc.","Ventura, CA",TTD,Nasdaq NM,2017-02-16,-,-,$125.0 mil.,"Citigroup, Jefferies, RBC Capital Markets, Needham & Company, Raymond James"
1403708,Secondary,"Evoke Pharma, Inc.","San Diego, CA",EVOK,Nasdaq NM,2017-02-15,-,-,$7.00 mil.,Laidlaw & Company
730708,Secondary,Seacoast Banking Corporation of Florida,"Stuart, FL",SBCF,Nasdaq NM,2017-02-15,-,-,$172.4 mil.,"Guggenheim Securities, Sandler, O Neill & Partners, Raymond James"
944745,Secondary,"Civista Bancshares, Inc.","Sandusky,, OH",CIVB,Nasdaq NM,2017-02-15,-,-,$30.5 mil.,"Keefe, Bruyette & Woods, Sandler, O Neill & Partners"
1176334,Secondary,Martin Midstream Partners L.P.,"Kilgore, TX",MMLP,Nasdaq NM,2017-02-15,-,-,$46.8 mil.,"RBC Capital Markets, Wells Fargo Securities"
811589,Secondary,First BanCorp./NC,"Southern Pines, NC",FBNC,Nasdaq NM,2017-02-14,-,-,$100.0 mil.,Shelf Registration (mixed)
1601936,Secondary,Auris Medical Holding AG,"Zug, SWITZERLAND",EARS,Nasdaq NM,2017-02-14,-,-,$0.100 mil.,Roth Capital Partners
32908,Secondary,Weatherford International Inc,"Houston, TX",WFT,NYSE,2017-02-13,-,-,"$2,543.3 mil.",Shelf Registration (mixed)
1341235,Secondary,"Aldeyra Therapeutics, Inc.","Burlington, MA",ALDX,Nasdaq NM,2017-02-13,-,-,$10.00 mil.,"Stifel, Canaccord Genuity   , Laidlaw & Company"
1083220,Secondary,"XCel Brands, Inc.","New York, NY",XELB,Nasdaq NM,2017-02-10,-,-,$75.0 mil.,Shelf Registration (mixed)
764065,Secondary,Cliffs Natural Resources Inc.,"Cleveland, OH",CLF,NYSE,2017-02-09,-,-,$591.3 mil.,Goldman Sachs & Co.
1425565,Secondary,Real Goods Solar Inc.,"Broomfield, CO",RGSE,Nasdaq NM,2017-02-09,-,-,$130.7 mil.,Shelf Registration (mixed)
876343,Secondary,"Lineage Cell Therapeutics, Inc.","Carlsbad, CA",BTX,NYSE,2017-02-09,-,-,$17.5 mil.,"Raymond James, Ladenburg Thalmann, Chardan, LifeSci Capital LLC"
1637558,Secondary,CNX Coal Resources LP,"Canonsburg, PA",CNXC,NYSE,2017-02-08,-,-,$750.0 mil.,Shelf Registration (mixed)
1276187,Secondary,Energy Transfer Equity LP,"Dallas, TX",ETE,NYSE,2017-02-08,-,-,"$1,000.0 mil.",Shelf Registration
1666138,Secondary,Atkore International Group Inc.,"Harvey, IL",ATKR,NYSE,2017-02-08,-,-,$246.7 mil.,"Credit Suisse, Deutsche Bank Securities, J.P. Morgan, UBS Investment Bank"
1290149,Secondary,"Sierra Oncology, Inc.","Vancouver,BritishColumbi, CANADA",SRRA,Nasdaq NM,2017-02-08,-,-,$26.3 mil.,"Jefferies, Wedbush PacGrow Life Sciences, SunTrust Robinson Humphrey"
1167419,Secondary,"Bioptix, Inc.","Boulder, CO",BIOP,Nasdaq NM,2017-02-08,-,-,$20.0 mil.,Shelf Registration (mixed)
1415916,Secondary,Golar LNG Partners LP,"Hamilton, BERMUDA",GMLP,Nasdaq NM,2017-02-07,-,-,N/A,Morgan Stanley
1594466,Secondary,"Parsley Energy, Inc.","Midland, TX",PE,NYSE,2017-02-07,-,-,"$1,116.0 mil.","Credit Suisse, Morgan Stanley"
1411579,Secondary,AMC Entertainment Holdings Inc.,"Leawood, MO",AMC,NYSE,2017-02-07,-,-,$600.0 mil.,"Citigroup, BofA Securities, Barclays, Credit Suisse"
1512762,Secondary,"Coherus BioSciences, Inc.","Redwood City, CA",CHRS,Nasdaq NM,2017-02-07,-,-,$125.0 mil.,"J.P. Morgan, Citigroup, Cowen, BMO Capital Markets"
1402479,Secondary,MYOS Rens Technology Inc.,"Cedar Knolls, NJ",MYOS,Nasdaq NM,2017-02-07,-,-,$2.13 mil.,Chardan
1302215,Secondary,"Houlihan Lokey, Inc.","Los Angeles, CA",HLI,NYSE,2017-02-06,-,-,$234.0 mil.,"BofA Securities, Goldman Sachs & Co., J.P. Morgan, UBS Investment Bank, Keefe, Bruyette & Woods, Houlihan Lokey, Sandler, O Neill & Partners, JMP Securities"
1600438,Secondary,GMS Inc. (Gypsum Management),"Tucker, GA",GMS,NYSE,2017-02-03,-,-,$168.8 mil.,"Barclays, Credit Suisse, RBC Capital Markets"
876523,Secondary,EZCORP Inc.,"Austin, TX",EZPW,Nasdaq NM,2017-02-03,-,-,$500.0 mil.,Shelf Registration (mixed)
1467652,Secondary,"Neos Therapeutics, Inc.","Grand Prairie, TX",NEOS,Nasdaq NM,2017-02-02,-,-,$25.0 mil.,"Cowen, BMO Capital Markets, JMP Securities"
1042074,Secondary,"CymaBay Therapeutics, Inc.","Newark, CA",CBAY,Nasdaq NM,2017-02-01,-,-,$10.0 mil.,"Jones Trading, LifeSci Capital LLC"
1594337,Secondary,"Corium International, Inc.","Menlo Park, CA",CORI,Nasdaq NM,2017-02-01,-,-,$20.0 mil.,Cantor
1528837,Secondary,Sanchez Energy Corp,"Houston, TX",SN,NYSE,2017-01-31,-,-,$125.0 mil.,J.P. Morgan
1347613,Secondary,Synergy Pharmaceuticals Inc.,"New York, NY",SGYP,Nasdaq NM,2017-01-31,-,-,$125.0 mil.,"Cantor, Canaccord Genuity   , H.C. Wainwright & Co."
1175680,Secondary,CytoDyn Inc.,"Vancouver, WA",CYDY,OTC BB,2017-01-31,-,-,$4.25 mil.,Paulson Investment Company Inc.
1574235,Secondary,"Pulmatrix, Inc.","Lexington,, MA",PULM,Nasdaq NM,2017-01-30,-,-,$5.00 mil.,Rodman & Renshaw LLC
1034842,Secondary,"Rigel Pharmaceuticals, Inc.","South San Francisco, CA",RIGL,Nasdaq NM,2017-01-30,-,-,$40.0 mil.,"Jefferies, Piper Jaffray, BMO Capital Markets, H.C. Wainwright & Co."
1496671,Secondary,"Calithera Biosciences, Inc.","South San Francisco, CA",CALA,Nasdaq NM,2017-01-30,-,-,$8.00 mil.,Shelf Registration
1562476,Secondary,Taylor Morrison Home Corp.,"Scottsdale, AZ",TMHC,NYSE,2017-01-30,-,-,$190.0 mil.,"J.P. Morgan, Citigroup, Credit Suisse"
1549922,Secondary,"Summit Midstream Partners, LP","Dallas, TX",SMLP,NYSE,2017-01-30,-,-,$96.0 mil.,Shelf Registration (mixed)
1574235,Secondary,"Pulmatrix, Inc.","Lexington,, MA",PULM,Nasdaq NM,2017-01-30,-,-,$3.33 mil.,Rodman & Renshaw LLC
813779,Secondary,Crimson Exploration Inc.,"Houston, TX",CXPO,Nasdaq NM,2017-01-27,-,-,$250.0 mil.,Shelf Registration (mixed)
1051521,Secondary,"Athersys, Inc.","Cleveland, OH",ATHX,Nasdaq NM,2017-01-26,-,-,$20.0 mil.,"William Blair & Co., Needham & Company"
1425287,Secondary,Workhorse Group Inc.,"Loveland, OH",WKHS,Nasdaq NM,2017-01-26,-,-,$19.5 mil.,"Oppenheimer & Co. Inc., Cowen"
1487101,Secondary,The KEYW Holding Corp.,"Hanover, MD",KEYW,Nasdaq NM,2017-01-26,-,-,$89.3 mil.,"RBC Capital Markets, Barclays, SunTrust Robinson Humphrey"
1390162,Secondary,Howard Bancorp Inc.,"Ellicott City, MD",HBMD,Nasdaq NM,2017-01-24,-,-,$36.0 mil.,"Raymond James, Stephens, Inc."
889900,Secondary,"Patterson-UTI Energy, Inc.","Houston, TX",PTEN,Nasdaq NM,2017-01-24,-,-,$417.9 mil.,"Goldman Sachs & Co., BofA Securities, Scotiabank / Howard Weil, Wells Fargo Securities"
1115055,Secondary,Pinnacle Financial Partners Inc.,"Nashville, TN",PNFP,Nasdaq NM,2017-01-24,-,-,$175.0 mil.,J.P. Morgan
1591763,Secondary,"Enable Midstream Partners, LP","Oklahoma City, OK",ENBL,NYSE,2017-01-23,-,-,$200.0 mil.,Shelf Registration
1389170,Secondary,Targa Resources Corp.,"Houston, TX",TRGP,NYSE,2017-01-23,-,-,$461.2 mil.,"Barclays, RBC Capital Markets"
1625791,Secondary,Kornit Digital Ltd.,"Rosh-Ha Ayin, ISRAEL",KRNT,Nasdaq NM,2017-01-23,-,-,$123.8 mil.,"Barclays, Citigroup, William Blair & Co., Stifel, Canaccord Genuity   , Needham & Company"
107687,Secondary,"Winnebago Industries, Inc.","Forest City, IO",WGO,NYSE,2017-01-20,-,-,$148.1 mil.,Shelf Registration
1158780,Secondary,Pluristem Therapeutics Inc.,"Haifa, ISRAEL",PSTI,Nasdaq NM,2017-01-19,-,-,$15.0 mil.,H.C. Wainwright & Co.
867665,Secondary,Abraxas Petroleum Corp.,"San Antonio, TX",AXAS,Nasdaq NM,2017-01-19,-,-,$60.0 mil.,"Seaport Global Securities, Canaccord Genuity   , Stephens, Inc."
1264587,Secondary,Stemline Therapeutics Inc.,"New York, NY",STML,Nasdaq NM,2017-01-19,-,-,$45.0 mil.,"Jefferies, Cowen, Ladenburg Thalmann, H.C. Wainwright & Co."
1327318,Secondary,"TrueCar, Inc.","Santa Monica, CA",TRUE,Nasdaq NM,2017-01-19,-,-,$100.0 mil.,Shelf Registration (mixed)
818033,Secondary,"Heron Therapeutics, Inc.","Redwood City, CA",HRTX,Nasdaq NM,2017-01-18,-,-,$150.1 mil.,"BofA Securities, Cowen, SVB Leerink"
799231,Secondary,Almost Family Inc.,"Louisville, KY",AFAM,Nasdaq NM,2017-01-18,-,-,$133.5 mil.,"J.P. Morgan, BofA Securities, Capital One Securities, Fifth Third Securities, Regions Securities LLC"
1602065,Secondary,Viper Energy Partners LP,"Midland, TX",VNOM,Nasdaq NM,2017-01-18,-,-,$131.8 mil.,"Credit Suisse, Citigroup, UBS Investment Bank"
1038773,Secondary,"SmartFinancial, Inc.","Knoxville, TN",SMBK,Nasdaq NM,2017-01-18,-,-,$34.1 mil.,"Raymond James, Keefe, Bruyette & Woods, Hovde Group, LLC"
1383097,Secondary,Naked Brand Group Inc.,"New York, NY",NAKD,Nasdaq NM,2017-01-18,-,-,$1.96 mil.,Shelf Registration
1621443,Secondary,"Zynerba Pharmeceuticals, Inc.","Devon, PA",ZYNE,Nasdaq NM,2017-01-18,-,-,$50.4 mil.,"Jefferies, Piper Jaffray, Cantor, Oppenheimer & Co. Inc., Roth Capital Partners"
1518832,Secondary,WPX Energy Inc.,"Tulsa, OK",WPX,NYSE,2017-01-12,-,-,N/A,Credit Suisse
1443799,Secondary,"Gener8 Maritime, Inc.","New York, NY",GNRT,NYSE,2017-01-10,-,-,$500.0 mil.,Shelf Registration (mixed)
1594466,Secondary,"Parsley Energy, Inc.","Midland, TX",PE,NYSE,2017-01-10,-,-,$770.0 mil.,"Morgan Stanley, BMO Capital Markets, Citigroup, Credit Suisse, Scotiabank / Howard Weil, Wells Fargo Securities"
1442626,Secondary,"Bluerock Residential Growth REIT, Inc.","New York, NY",BRG,NYSE,2017-01-10,-,-,$52.6 mil.,"Janney Montgomery Scott, LLC, Compass Point Research & Trading, LLC, D.A. Davidson & Co., Wunderlich Securities"
1102266,Secondary,CenterState Banks Inc.,"Davenport, FL",CSFL,Nasdaq NM,2017-01-09,-,-,$67.6 mil.,"Keefe, Bruyette & Woods, Raymond James"
1593222,Secondary,"City Office REIT, Inc.","British Columbia, CANADA",CIO,NYSE,2017-01-09,-,-,$62.0 mil.,"Raymond James, D.A. Davidson & Co., Janney Montgomery Scott, LLC, Wunderlich Securities"
1611988,Secondary,Fifth Street Asset Management Inc.,"Greenwich, CT",FSAM,Nasdaq NM,2017-01-06,-,-,$100.0 mil.,Shelf Registration (mixed)
1334933,Secondary,Uranium Energy Corp.,"Austin, TX",UEC,NYSE,2017-01-05,-,-,$10.0 mil.,"Rodman & Renshaw LLC, Haywood Securities, H.C. Wainwright & Co."
1621563,Secondary,"Summit Materials, Inc.","Denver, CO",SUM,NYSE,2017-01-05,-,-,N/A,"Goldman Sachs & Co., Citigroup"
883975,Secondary,Microbot Medical Inc.,"Hingham, MA",MBOT,Nasdaq NM,2017-01-05,-,-,$3.50 mil.,Chardan
1563665,Secondary,"Biostage, Inc.","Holliston, MA",BSTG,Nasdaq NM,2017-01-04,-,-,$8.00 mil.,Shelf Registration (mixed)
1581720,Secondary,"Loxo Oncology, Inc.","Stamford, CT",LOXO,Nasdaq NM,2017-01-04,-,-,$120.0 mil.,"Morgan Stanley, Citigroup, Cowen, Stifel"
33992,Secondary,"Kingstone Companies, Inc.","Kingston, NY",KINS,Nasdaq NM,2017-01-04,-,-,$50.0 mil.,Shelf Registration (mixed)
1564180,Secondary,KNOT Offshore Partners LP,"Aberdeenshire, UNITED KINGDOM",KNOP,NYSE,2017-01-04,-,-,N/A,Barclays
866829,Secondary,Helix Energy Solutions Group (Cal Dive Intern.),"Houston, TX",HLX,NYSE,2017-01-04,-,-,$199.0 mil.,"Credit Suisse, Wells Fargo Securities, BofA Securities"
1596967,Secondary,Moelis & Co,"New York, NY",MC,NYSE,2017-01-04,-,-,$163.8 mil.,"Goldman Sachs & Co., Morgan Stanley, Moelis &  Company"
21535,Secondary,"Cohu, Inc.","Poway, CA",COHU,Nasdaq NM,2017-01-03,-,-,$150.0 mil.,Shelf Registration (mixed)
1534287,Secondary,BioAmber Inc.,"Montreal, Quebec, CANADA",BIOA,NYSE,2017-01-03,-,-,$100.0 mil.,Shelf Registration (mixed)
1466301,Secondary,Clovis Oncology Inc.,"Boulder, CO",CLVS,Nasdaq NM,2017-01-03,-,-,$205.0 mil.,"J.P. Morgan, BofA Securities, Stifel, SunTrust Robinson Humphrey"
1481582,Secondary,Ryerson Holding Corp.,"Chicago, IL",RYI,NYSE,2016-12-30,-,-,$295.2 mil.,Shelf Registration
1025835,Secondary,Enterprise Financial Services Corp,"Clayton, MO",EFSC,Nasdaq NM,2016-12-28,-,-,$100.0 mil.,Shelf Registration (mixed)
822411,Secondary,"ImmunoCellular Therapeutics, Ltd.","Woodland Hills, CA",IMUC,NYSE,2016-12-28,-,-,$20.0 mil.,Shelf Registration (mixed)
1308858,Secondary,DryShips Inc.,"Athens, GREECE",DRYS,Nasdaq NM,2016-12-27,-,-,$200.0 mil.,Shelf Registration
883237,Secondary,Virtus Investment Partners Inc.,"Hartford, CT",VRTS,Nasdaq NM,2016-12-22,-,-,$500.0 mil.,Shelf Registration (mixed)
1471261,Secondary,Cobalt International Energy Inc.,"Houston, TX",CIE,NYSE,2016-12-22,-,-,"$1,000.0 mil.",Shelf Registration (mixed)
1253317,Secondary,Old Line Bancshares Inc.,"Waldorf, MD",OLBK,Nasdaq NM,2016-12-22,-,-,$100.0 mil.,Shelf Registration (mixed)
726854,Secondary,City Holding Co.,"Cross Lanes, WV",CHCO,Nasdaq NM,2016-12-19,-,-,$55.0 mil.,"Keefe, Bruyette & Woods"
1637655,Secondary,Horizon Global Corp.,"Troy, MI",HZN,NYSE,2016-12-19,-,-,$500.0 mil.,Shelf Registration (mixed)
1639947,Secondary,"Care Capital Properties, Inc.","Chicago, IL",CCP.,NYSE,2016-12-19,-,-,$250.0 mil.,"Morgan Stanley, Barclays, Citigroup, Credit Agricole CIB, Jefferies, J.P. Morgan, MUFG, RBC Capital Markets, Stifel, UBS Investment Bank"
1469510,Secondary,Resolute Energy Corp.,"Denver, CO",REN,NYSE,2016-12-19,-,-,N/A,"BMO Capital Markets, Goldman Sachs & Co."
887359,Secondary,Vericel Corporation,"Cambridge, MA",VCEL,Nasdaq NM,2016-12-16,-,-,$17.1 mil.,Piper Jaffray
1564618,Secondary,"Independent Bank Group, Inc.","McKinney, TX",IBTX,Nasdaq NM,2016-12-16,-,-,$25.0 mil.,Shelf Registration
716006,Secondary,YRC Worldwide Inc.,"Overland Park, KS",YRCW,Nasdaq NM,2016-12-16,-,-,$350.0 mil.,Shelf Registration (mixed)
874499,Secondary,Gulfport Energy Corp.,"Oklahoma City, OK",GPOR,Nasdaq NM,2016-12-15,-,-,$623.5 mil.,"Credit Suisse, BofA Securities"
1286131,Secondary,StoneMor Partners LP,"Levittown, PA",STON,Nasdaq NM,2016-12-15,-,-,$500.0 mil.,Shelf Registration
1501570,Secondary,"Veritex Holdings, Inc.","Dallas, TX",VBTX,Nasdaq NM,2016-12-14,-,-,$87.0 mil.,"Stephens, Inc., Sandler, O Neill & Partners"
1052595,Secondary,Red Lion Hotels Corp.,"Spokane, WA",RLH,NYSE,2016-12-14,-,-,$18.0 mil.,"Craig-Hallum Capital Group, B. Riley FBR"
1462694,Secondary,"ConnectOne Bancorp, Inc.","Englewood Cliffs, NJ",CNOB,Nasdaq NM,2016-12-13,-,-,$35.0 mil.,"Keefe, Bruyette & Woods, Raymond James"
928022,Secondary,Callon Petroleum Co.,"Natchez, MS",CPE,NYSE,2016-12-13,-,-,$656.0 mil.,"Barclays, J.P. Morgan, Citigroup, Credit Suisse"
1529113,Secondary,Inpixon,"Palo Alto, CA",SYRX,Nasdaq NM,2016-12-13,-,-,$2.00 mil.,Rodman & Renshaw LLC
715072,Secondary,Renasant Corp.,"Tupelo, MS",RNST,Nasdaq NM,2016-12-13,-,-,$78.9 mil.,"Keefe, Bruyette & Woods, Sandler, O Neill & Partners, Raymond James, Stephens, Inc."
1002638,Secondary,Open Text Corp.,"Waterloo, Ontario, CANADA",OTEX,Nasdaq NM,2016-12-12,-,-,$500.0 mil.,"Barclays, Citigroup, RBC Capital Markets"
1012620,Secondary,Genesee & Wyoming Inc,"Greenwich, CT",GWR,NYSE,2016-12-12,-,-,N/A,"BofA Securities, Citigroup, J.P. Morgan"
1301501,Secondary,Achaogen Inc,"South San Francisco, CA",AKAO,Nasdaq NM,2016-12-12,-,-,$87.8 mil.,"SVB Leerink, Stifel, Guggenheim Securities"
1006045,Secondary,IRIDEX Corp.,"Mountain View, CA",IRIX,Nasdaq NM,2016-12-09,-,-,$16.1 mil.,Roth Capital Partners
846901,Secondary,Lakeland Bancorp Inc.,"Oak Ridge, NJ",LBAI,Nasdaq NM,2016-12-09,-,-,$50.0 mil.,"Keefe, Bruyette & Woods"
1522727,Secondary,"USA Compression Partners, LP","Austin, TX",USAC,NYSE,2016-12-08,-,-,$73.1 mil.,"J.P. Morgan, UBS Investment Bank, Wells Fargo Securities"
65770,Secondary,Microvision Inc.,"Redmond, WA",MVIS,Nasdaq NM,2016-12-08,-,-,$13.0 mil.,Ladenburg Thalmann
1126975,Secondary,Magellan Midstream Partners LP (Williams Energy),"Tulsa, OK",MMP,NYSE,2016-12-08,-,-,$750.0 mil.,Shelf Registration
1597264,Secondary,Blueprint Medicines Corp,"Cambridge, MA",BPMC,Nasdaq NM,2016-12-06,-,-,$125.0 mil.,"Goldman Sachs & Co., Morgan Stanley, Cowen, JMP Securities, Wedbush PacGrow Life Sciences"
1172139,Secondary,Bill Barrett Corp.,"Denver, CO",BBG,NYSE,2016-12-06,-,-,$99.9 mil.,"J.P. Morgan, Deutsche Bank Securities, Scotiabank / Howard Weil"
1598696,Secondary,"NeuroDerm, Ltd.","Rehovot, ISRAEL",NDRM,Nasdaq NM,2016-12-06,-,-,$75.0 mil.,"Jefferies, Cowen, Raymond James, Roth Capital Partners"
884144,Secondary,Asure Software Inc.,"Austin, TX",ASUR,Nasdaq NM,2016-12-05,-,-,$13.6 mil.,"Roth Capital Partners, Barington Capital Group, Lake Street Capital Markets, Northland Capital Markets, Wunderlich Securities"
1384195,Secondary,"Ring Energy, Inc.","Midland, TX",REI,NYSE,2016-12-05,-,-,$75.0 mil.,SunTrust Robinson Humphrey
1434754,Secondary,Safe Bulkers Inc.,"Voula, GREECE",SB,NYSE,2016-12-05,-,-,$15.0 mil.,"Stifel, DnB NOR Markets"
925528,Secondary,Hudson Technologies Inc.,"Pearl River, NY",HDSN,Nasdaq NM,2016-12-05,-,-,$45.0 mil.,"William Blair & Co., Craig-Hallum Capital Group, Roth Capital Partners, B. Riley FBR"
920427,Secondary,"Unity Bancorp, Inc.","Clinton, NJ",UNTY,Nasdaq NM,2016-12-02,-,-,$15.0 mil.,"Keefe, Bruyette & Woods"
1326732,Secondary,Xencor Inc.,"Monrovia, CA",XNCR,Nasdaq NM,2016-11-30,-,-,$110.0 mil.,"SVB Leerink, Canaccord Genuity   , Wedbush PacGrow Life Sciences"
732417,Secondary,Hills Bancorporation,"Hills, IA",HBIA,OTC BB,2016-11-30,-,-,$0.950 mil.,Shelf Registration
727273,Secondary,Cadiz Inc.,"Los Angeles, CA",CDZI,Nasdaq NM,2016-11-30,-,-,$9.75 mil.,B. Riley FBR
1503584,Secondary,Costamare Inc.,"Athens, GREECE",CMRE,NYSE,2016-11-29,-,-,$72.0 mil.,"Morgan Stanley, Wells Fargo Securities, J.P. Morgan, Citigroup, Barclays"
1630132,Secondary,"Bojangles', Inc.","Charlotte, NC",BOJA,Nasdaq NM,2016-11-28,-,-,$103.5 mil.,"BofA Securities, Jefferies, Wells Fargo Securities, Barclays, Goldman Sachs & Co., Piper Jaffray, William Blair & Co., KeyBanc Capital Markets, RBC Capital Markets, Cowen, Fifth Third Securities"
1077428,Secondary,"Texas Capital Bancshares, Inc.","Dallas, TX",TCBI,Nasdaq NM,2016-11-28,-,-,N/A,"BofA Securities, J.P. Morgan, Morgan Stanley"
1394319,Secondary,"Tracon Pharmaceuticals, Inc.","San Diego, CA",TCON,Nasdaq NM,2016-11-22,-,-,$15.1 mil.,"Jefferies, Stifel, BTIG"
1448397,Secondary,Seanergy Maritime Holdings Corp.,"Athens, GREECE",SHIP,Nasdaq NM,2016-11-22,-,-,$3.59 mil.,Maxim Group LLC
846617,Secondary,Bridge Bancorp Inc.,"Bridgehampton, NY",BDGE,Nasdaq NM,2016-11-21,-,-,$50.0 mil.,"Sandler, O Neill & Partners, Keefe, Bruyette & Woods"
1273441,Secondary,Gran Tierra Energy Inc.,"Calgary, Alberta, CANADA",GTE,NYSE,2016-11-21,-,-,$130.0 mil.,"Scotiabank / Howard Weil, RBC Capital Markets, Dundee Securities Corporation"
1538849,Secondary,CrossAmerica Partners LP,"Allentown, PA",CAPL,NYSE,2016-11-18,-,-,$500.0 mil.,Shelf Registration (mixed)
1387467,Secondary,Alpha and Omega Semiconductor Ltd.,"Hamilton, BERMUDA",AOSL,Nasdaq NM,2016-11-17,-,-,$250.0 mil.,Shelf Registration (mixed)
1069258,Secondary,Kratos Defense & Security Solutions Inc.,"San Diego, CA",KTOS,Nasdaq NM,2016-11-17,-,-,$70.0 mil.,"Canaccord Genuity   , B. Riley FBR, Noble Investment Co."
797721,Secondary,ViaSat Inc.,"Carlsbad, CA",VSAT,Nasdaq NM,2016-11-15,-,-,$453.3 mil.,"BofA Securities, J.P. Morgan, Credit Suisse, Morgan Stanley"
764579,Secondary,CAS Medical Systems Inc.,"Branford, CT",CASM,Nasdaq NM,2016-11-15,-,-,$30.0 mil.,Shelf Registration (mixed)
894158,Secondary,Synthetic Biologics Inc.,"Ann Arbor, MI",SYN,NYSE,2016-11-15,-,-,$25.0 mil.,Cantor
1419600,Secondary,"Flexion Therapeutics, Inc.","Burlington, MA",FLXN,Nasdaq NM,2016-11-15,-,-,$64.8 mil.,"Wells Fargo Securities, RBC Capital Markets, BMO Capital Markets"
1621832,Secondary,"Aqua Metals, Inc.","Oakland, CA",AQMS,Nasdaq NM,2016-11-15,-,-,$20.0 mil.,National Securities
1501134,Secondary,Invitae Corp,"San Francisco, CA",NVTA,NYSE,2016-11-15,-,-,$4.40 mil.,"J.P. Morgan, Cowen"
1640313,Secondary,"Amplify Snack Brands, Inc","Austin, TX",BETR,NYSE,2016-11-14,-,-,$100.0 mil.,Shelf Registration (mixed)
1590717,Secondary,"CareTrust REIT, Inc.","San Clemente, CA",CTRE,Nasdaq NM,2016-11-14,-,-,$73.4 mil.,"Wells Fargo Securities, KeyBanc Capital Markets, Raymond James, BMO Capital Markets, Barclays"
1491576,Secondary,TESARO Inc.,"Waltham, MA",TSRO,Nasdaq NM,2016-11-14,-,-,$236.3 mil.,"Citigroup, SVB Leerink, CRT Capital Group LLC, Wells Fargo Securities"
1592288,Secondary,"Dimension Therapeutics, Inc.","Cambridge, MA",DMTX,Nasdaq NM,2016-11-10,-,-,$150.0 mil.,Shelf Registration (mixed)
1371446,Secondary,FBR & Co.,"Arlington, VA",FBRC,Nasdaq NM,2016-11-10,-,-,$200.0 mil.,Shelf Registration (mixed)
1114220,Secondary,"Keryx Biopharmaceuticals, Inc.","New York, NY",KERX,Nasdaq NM,2016-11-09,-,-,$250.0 mil.,Shelf Registration (mixed)
1524741,Secondary,U.S. Silica Holdings Inc.,"Frederick, MD",SLCA,NYSE,2016-11-09,-,-,N/A,"Morgan Stanley, Barclays"
719135,Secondary,Bovie Medical Corp.,"Melville, NY",BVX,NYSE,2016-11-09,-,-,$6.00 mil.,Piper Jaffray
1413265,Secondary,Resolute Energy Partners LP,"Denver, CO",REN,NYSE,2016-11-07,-,-,$750.0 mil.,Shelf Registration (mixed)
1501364,Secondary,"United Financial Bancorp, Inc.","Glastonbury, CT",UBNK,Nasdaq NM,2016-11-04,-,-,$100.0 mil.,Shelf Registration (mixed)
1012569,Secondary,Energy Transfer Partners L.P. (Heritage Propane),"Tulsa, OK",ETP,NYSE,2016-11-03,-,-,$307.1 mil.,Shelf Registration
1512074,Secondary,RMG Networks Holding Corp,"Addison, TX",RMGN,Nasdaq NM,2016-11-02,-,-,$10.0 mil.,Shelf Registration (mixed)
1384101,Secondary,"Veracyte, Inc.","South San Francisco, CA",VCYT,Nasdaq NM,2016-11-01,-,-,$30.0 mil.,"SVB Leerink, BTIG"
799292,Secondary,M/I Homes Inc.,"Columbus, OH",MHO,NYSE,2016-10-31,-,-,$400.0 mil.,Shelf Registration (mixed)
1603286,Secondary,"Dominion Energy Midstream Partners, LP","Richmond, VA",DM,NYSE,2016-10-31,-,-,$313.2 mil.,"RBC Capital Markets, Barclays, J.P. Morgan, Mizuho Securities USA Inc., BofA Securities, Citigroup, UBS Investment Bank"
318306,Secondary,Abeona Therapeutics Inc,"Dallas, TX",ABEO,Nasdaq NM,2016-10-27,-,-,$42.0 mil.,"Jefferies, Cantor, FBR, H.C. Wainwright & Co., Jones Trading, Maxim Group LLC"
1607962,Secondary,ReWalk Robotics Ltd.,"Yokneam Ilit, ISRAEL",RWLK,Nasdaq NM,2016-10-26,-,-,$12.2 mil.,Oppenheimer & Co. Inc.
1460702,Secondary,"Qualigen Therapeutics, Inc.","Los Angeles, CA",RTTR,Nasdaq NM,2016-10-26,-,-,$5.00 mil.,Aegis Capital Corp.
917251,Secondary,Agree Realty Corp,"Farmington Hills, MI",ADC,NYSE,2016-10-25,-,-,$86.2 mil.,"Raymond James, Citigroup, Jefferies, Wells Fargo Securities, Stifel"
1430306,Secondary,Tonix Pharmaceuticals Holding Corp.,"New York, NY",TNXP,Nasdaq NM,2016-10-25,-,-,$5.23 mil.,Dawson James Securities
805022,Secondary,Buckeye Partners L.P.,"Emmaus, PA",BPL,NYSE,2016-10-24,-,-,$511.9 mil.,"Barclays, RBC Capital Markets, UBS Investment Bank"
